"rank","personName","finalWorth","age","country","industries","selfMade","gdp_country","gross_tertiary_education_enrollment","tax_revenue_country","total_tax_rate_country","population_country","female"
1,"Bernard Arnault & family",211000,74,"France","Fashion & Retail",0,2715.518274227,65.6,24.2,60.7,67.059887,0
2,"Elon Musk",180000,51,"United States","Automotive",1,21427.7,88.2,9.6,36.6,328.239523,0
3,"Jeff Bezos",114000,59,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
4,"Larry Ellison",107000,78,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
5,"Warren Buffett",106000,92,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
6,"Bill Gates",104000,67,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
7,"Michael Bloomberg",94500,81,"United States","Media & Entertainment",1,21427.7,88.2,9.6,36.6,328.239523,0
8,"Carlos Slim Helu & family",93000,83,"Mexico","Telecom",1,1258.286717125,40.2,13.1,55.1,126.014024,0
9,"Mukesh Ambani",83400,65,"India","Diversified",0,2611,28.1,11.2,49.7,1366.417754,0
10,"Steve Ballmer",80700,67,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
11,"Francoise Bettencourt Meyers & family",80500,69,"France","Fashion & Retail",0,2715.518274227,65.6,24.2,60.7,67.059887,1
12,"Larry Page",79200,50,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
13,"Amancio Ortega",77300,87,"Spain","Fashion & Retail",1,1394.116310769,88.9,14.2,47,47.076781,0
14,"Sergey Brin",76000,49,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
15,"Zhong Shanshan",68000,68,"China","Food & Beverage",1,19910,50.6,9.4,59.2,1397.715,0
16,"Mark Zuckerberg",64400,38,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
17,"Charles Koch & family",59000,87,"United States","Diversified",0,21427.7,88.2,9.6,36.6,328.239523,0
17,"Julia Koch & family",59000,60,"United States","Diversified",0,21427.7,88.2,9.6,36.6,328.239523,1
19,"Jim Walton",58800,74,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,0
20,"Rob Walton & family",57600,78,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,0
