"personName","rank","finalWorth","age","country","industries","selfMade","gdp_country","gross_tertiary_education_enrollment","tax_revenue_country","total_tax_rate_country","population_country","female","Self.Made.Score","Philanthropy.Score","Marital.Status","Bachelor","Master","Doctorate","Drop.Out"
"Bernard Arnault & family",1,211000,74,"France","Fashion & Retail",0,2715.518274227,65.6,24.2,60.7,67.059887,0,6,1,"Married",1,0,0,0
"Elon Musk",2,180000,51,"United States","Automotive",1,21427.7,88.2,9.6,36.6,328.239523,0,8,1,"Single",1,0,0,0
"Jeff Bezos",3,114000,59,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0,8,2,"Engaged",1,0,0,0
"Larry Ellison",4,107000,78,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0,9,1,"In Relationship",0,0,0,1
"Warren Buffett",5,106000,92,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0,8,5,"Widowed, Remarried",1,1,0,0
"Bill Gates",6,104000,67,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0,8,5,"Divorced",0,0,0,1
"Michael Bloomberg",7,94500,81,"United States","Media & Entertainment",1,21427.7,88.2,9.6,36.6,328.239523,0,8,4,"In Relationship",1,1,0,0
"Carlos Slim Helu & family",8,93000,83,"Mexico","Telecom",1,1258.286717125,40.2,13.1,55.1,126.014024,0,6,1,"Widowed",1,0,0,0
"Mukesh Ambani",9,83400,65,"India","Diversified",0,2611,28.1,11.2,49.7,1366.417754,0,6,1,"Married",1,0,0,1
"Steve Ballmer",10,80700,67,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0,6,2,"Married",1,0,0,1
"Francoise Bettencourt Meyers & family",11,80500,69,"France","Fashion & Retail",0,2715.518274227,65.6,24.2,60.7,67.059887,1,6,1,"Married",0,0,0,0
"Larry Page",12,79200,50,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0,8,1,"Married",1,1,0,0
"Amancio Ortega",13,77300,87,"Spain","Fashion & Retail",1,1394.116310769,88.9,14.2,47,47.076781,0,6,1,"Married",0,0,0,0
"Sergey Brin",14,76000,49,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0,9,2,"Separated",1,1,0,0
"Zhong Shanshan",15,68000,68,"China","Food & Beverage",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Unknown",0,0,0,0
"Mark Zuckerberg",16,64400,38,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0,8,3,"Married",0,0,0,1
"Julia Koch & family",17,59000,60,"United States","Diversified",0,21427.7,88.2,9.6,36.6,328.239523,1,1,2,"Widowed",1,0,0,0
"Jim Walton",19,58800,74,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,0,2,1,"Married",1,0,0,0
"Alice Walton",21,56700,73,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,1,1,2,"Divorced",1,0,0,0
"David Thomson & family",22,54400,65,"Canada","Media & Entertainment",0,1736.42562952,68.9,12.8,24.5,36.991981,0,6,1,"Divorced",0,1,0,0
"Michael Dell",23,50100,58,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0,8,2,"Married",0,0,0,1
"Gautam Adani",24,47200,60,"India","Diversified",1,2611,28.1,11.2,49.7,1366.417754,0,6,1,"Married",0,0,0,0
"Phil Knight & family",25,45100,85,"United States","Fashion & Retail",1,21427.7,88.2,9.6,36.6,328.239523,0,8,3,"Married",1,1,0,0
"Zhang Yiming",26,45000,39,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Unknown",1,0,0,0
"Dieter Schwarz",27,42900,83,"Germany","Fashion & Retail",0,3845.630030824,70.2,11.5,48.8,83.132799,0,6,1,"Married",0,0,0,0
"François Pinault & family",28,40100,86,"France","Fashion & Retail",1,2715.518274227,65.6,24.2,60.7,67.059887,0,6,1,"Married",0,0,0,1
"Klaus-Michael Kuehne",29,39100,85,"Switzerland","Logistics",0,703.08243536,59.6,10.1,28.8,8.574832,0,6,1,"Married",0,0,0,0
"Giovanni Ferrero",30,38900,58,"Belgium","Food & Beverage",0,529.606710418,79.7,24,55.4,11.484055,0,4,1,"Married",0,0,0,0
"Jacqueline Mars",31,38300,83,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,1,2,1,"Divorced",1,0,0,0
"John Mars",31,38300,87,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,0,2,1,"Married",1,0,0,0
"Ma Huateng",34,35300,51,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Married",1,0,0,0
"Miriam Adelson & family",35,35000,77,"United States","Gambling & Casinos",0,21427.7,88.2,9.6,36.6,328.239523,1,2,2,"Widowed",1,0,0,0
"Ken Griffin",35,35000,54,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0,8,1,"Divorced",1,0,0,0
"Mark Mateschitz",37,34700,30,"Austria","Food & Beverage",0,446.314739528,85.1,25.4,51.4,8.877067,0,6,1,"Single",0,0,0,0
"Robin Zeng",38,33400,54,"China","Automotive",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Unknown",0,0,1,0
"Tadashi Yanai & family",39,32600,74,"Japan","Fashion & Retail",1,5081.76954238,63.2,11.9,46.7,126.226568,0,6,1,"Married",1,0,0,0
"Len Blavatnik",40,32100,65,"United Kingdom","Diversified",1,2827.113184696,60,25.5,30.6,66.834405,0,9,2,"Married",1,1,0,0
"Alain Wertheimer",41,31600,74,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,0,6,1,"Married",0,0,0,0
"Gerard Wertheimer",41,31600,72,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,0,6,1,"Married",0,0,0,0
"Gianluigi Aponte",43,31200,82,"Switzerland","Logistics",1,703.08243536,59.6,10.1,28.8,8.574832,0,6,1,"Married",0,0,0,0
"Rafaela Aponte-Diamant",43,31200,78,"Switzerland","Logistics",1,703.08243536,59.6,10.1,28.8,8.574832,1,6,1,"Married",0,0,0,0
"Colin Zheng Huang",45,30200,43,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Unknown",1,1,0,0
"Reinhold Wuerth & family",46,29700,87,"Germany","Manufacturing",1,3845.630030824,70.2,11.5,48.8,83.132799,0,6,1,"Married",0,0,0,0
"Jeff Yass",48,28500,64,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0,8,1,"Married",1,0,0,0
"Jim Simons",49,28100,84,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0,8,4,"Married",1,0,1,0
"Stephen Schwarzman",50,27800,76,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0,8,2,"Married",1,1,0,0
"Susanne Klatten",51,27400,60,"Germany","Automotive",0,3845.630030824,70.2,11.5,48.8,83.132799,1,6,1,"Married",0,1,0,0
"Gina Rinehart",52,27000,69,"Australia","Metals & Mining",0,1392.680589329,113.1,23,47.4,25.766605,1,6,1,"Widowed",0,0,0,0
"William Ding",53,26700,51,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Unknown",1,0,0,0
"Germán Larrea Mota Velasco & family",54,26600,69,"Mexico","Metals & Mining",0,1258.286717125,40.2,13.1,55.1,126.014024,0,6,1,"Married",0,0,0,0
"Shiv Nadar",55,25600,77,"India","Technology",1,2611,28.1,11.2,49.7,1366.417754,0,6,1,"Married",1,0,0,0
"Low Tuck Kwong",56,25500,74,"Indonesia","Energy",1,1119.190780753,36.3,10.2,30.1,270.203917,0,6,1,"Married",0,0,0,0
"Thomas Peterffy",57,25300,78,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0,10,1,"Divorced",0,0,0,1
"Andrey Melnichenko & family",58,25200,51,"United Arab Emirates","Metals & Mining",1,421.142267938,36.8,0.1,15.9,9.770529,0,6,1,"Married",0,1,0,0
"Stefan Quandt",59,24600,56,"Germany","Automotive",0,3845.630030824,70.2,11.5,48.8,83.132799,0,6,1,"Married",0,0,0,0
"MacKenzie Scott",60,24400,52,"United States","Technology",0,21427.7,88.2,9.6,36.6,328.239523,1,3,5,"Divorced",1,0,0,0
"R. Budi Hartono",61,24200,82,"Indonesia","Finance & Investments",0,1119.190780753,36.3,10.2,30.1,270.203917,0,6,1,"Married",0,0,0,0
"Vladimir Potanin",62,23700,62,"Russia","Metals & Mining",1,1699.876578871,81.9,11.4,46.2,144.373535,0,6,1,"Married",0,1,0,0
"Jack Ma",63,23500,58,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Married",1,0,0,0
"He Xiangjian & family",64,23400,80,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0,6,1,"Married",0,0,0,0
"Iris Fontbona & family",65,23100,80,"Chile","Metals & Mining",0,282.318159745,88.5,18.2,34,18.952038,1,6,1,"Widowed",0,0,0,0
"Michael Hartono",65,23100,83,"Indonesia","Manufacturing",0,1119.190780753,36.3,10.2,30.1,270.203917,0,6,1,"Married",0,0,0,0
"James Ratcliffe",67,22900,70,"United Kingdom","Manufacturing",1,2827.113184696,60,25.5,30.6,66.834405,0,6,1,"Married",0,0,0,0
"Cyrus Poonawalla",68,22600,81,"India","Healthcare",0,2611,28.1,11.2,49.7,1366.417754,0,6,1,"Widowed",1,0,1,0
